Movie Name,Director ,Year,Jump Count,Jump scare Rating ,Netflix (US),IMDB
Grave Encounters,"Colin Minihan, Stuart Ortiz",2011,12,4,No,6.1
Green Room,Jeremy Saulnier,2015,1,0.5,Yes,7
Gremlins,Joe Dante,1984,17,3.5,No,7.3
"Grudge, The",Takashi Shimizu,2004,23,4,No,5.9
"Guest, The",Adam Wingard,2014,5,1.5,No,6.7
Halloween,John Carpenter,1978,13,2.5,No,7.8
Halloween,Rob Zombie,2007,9,3,No,6.1
Halloween H20: 20 Years Later,Steve Miner,1998,16,3.5,No,5.7
Halloween II,Rick Rosenthal,1981,8,2,No,6.5
Halloween II,Rob Zombie,2009,16,3,No,4.9
Hannibal,Ridley Scott,2001,2,0.5,No,6.8
Hannibal Rising,Peter Webber,2007,0,0,No,6.2
"Happening, The",M. Night Shyamalan,2008,1,0.5,No,5
Happy Death Day,Christopher Landon,2017,8,2.5,No,6.5
Happy Death Day 2U,Christopher Landon,2019,7,2,No,6.2
"Haunting in Connecticut, The ",Peter Cornwell,2009,26,4.5,No,5.9
"Haunting, The",Robert Wise,1963,3,1,No,7.6
Hellboy,Guillermo del Toro,2004,6,1.5,No,6.8
Hellraiser,Clive Barker,1987,5,2,No,7
Here Alone,Rod Blackhurst,2016,2,0.5,Yes,5.6
Hereditary,Ari Aster,2018,8,2,No,7.3
Hidden,"Matt Duffer, Ross Duffer",2015,4,1.5,No,6.4
Hide and Seek,John Polson,2005,16,3.5,No,6
High Tension,Alexandre Aja,2003,8,2.5,No,6.8
"Hills Have Eyes, The",Alexandre Aja,2006,9,2.5,No,6.4
Holidays,Various Directors,2016,5,2,Yes,5.1
Hollow Man,Paul Verhoeven,2000,9,2.5,No,5.8
Honeymoon,Leigh Janiak,2014,3,0.5,No,5.7
Horns,Alexandre Aja,2014,3,0.5,No,6.5
Hostel,Eli Roth,2005,2,0.5,No,5.9
Hounds of Love,Ben Young,2016,0,0,No,6.5
Hour of the Wolf,Ingmar Bergman,1968,1,0.5,No,7.7
